ОПЯ,Количество нов.,Количество нов.(%),ВКонтакте (%),СМИ (%),МЧС (%),Погибшие,Погибшие (%),Погибшие / Количество нов.
заморозки,1160,3.86,86.47,0.0,13.53,235,22.32,0.2
сели,131,0.44,42.75,8.4,48.85,18,1.71,0.14
осыпи,81,0.27,37.04,9.88,53.09,9,0.85,0.11
обвалы,81,0.27,37.04,9.88,53.09,9,0.85,0.11
оползни,81,0.27,37.04,9.88,53.09,9,0.85,0.11
мороз,2606,8.67,98.2,0.19,1.61,241,22.89,0.09
наводнение,4933,16.41,69.9,3.04,27.06,404,38.37,0.08
лавины,899,2.99,26.03,4.0,69.97,47,4.46,0.05
сильные ветры,3090,10.28,83.66,3.11,13.24,127,12.06,0.04
жара,360,1.2,77.5,0.83,21.67,14,1.33,0.04
ландшафтные пожары,2805,9.33,23.49,1.18,75.33,114,10.83,0.04
сильные осадки,8440,28.08,96.71,0.76,2.54,126,11.97,0.01
град,2940,9.78,92.18,0.68,7.14,30,2.85,0.01
КНПЯ,6540,21.76,94.59,0.72,4.69,77,7.31,0.01
гололед,5185,17.25,96.18,0.48,3.34,34,3.23,0.01
засуха,67,0.22,29.85,0.0,70.15,0,0.0,0.0
вредители и болезни лесов и с/х,222,0.74,3.6,0.0,96.4,1,0.09,0.0
туман,541,1.8,78.74,0.0,21.26,1,0.09,0.0
пыльные бури,74,0.25,50.0,4.05,45.95,0,0.0,0.0
грозы,118,0.39,95.76,0.0,4.24,0,0.0,0.0
термокарст и деградация мерзлоты,1,0.0,0.0,0.0,100.0,0,0.0,0.0
