ОПЯ,Количество нов.,Количество нов.(%),ВКонтакте (%),СМИ (%),МЧС (%),"Затраты, млн. руб.",Затраты (%),"Затраты, млн. руб. / Количество нов."
осыпи,81,0.27,37.04,9.88,53.09,12832,3.5,158.42
обвалы,81,0.27,37.04,9.88,53.09,12832,3.5,158.42
оползни,81,0.27,37.04,9.88,53.09,12832,3.5,158.42
наводнение,4933,16.41,69.9,3.04,27.06,267467,72.97,54.22
сели,131,0.44,42.75,8.4,48.85,7000,1.91,53.44
засуха,67,0.22,29.85,0.0,70.15,2126,0.58,31.74
сильные ветры,3090,10.28,83.66,3.11,13.24,68992,18.82,22.33
ландшафтные пожары,2805,9.33,23.49,1.18,75.33,41311,11.27,14.73
заморозки,1160,3.86,86.47,0.0,13.53,6309,1.72,5.44
жара,360,1.2,77.5,0.83,21.67,1209,0.33,3.36
сильные осадки,8440,28.08,96.71,0.76,2.54,13732,3.75,1.63
гололед,5185,17.25,96.18,0.48,3.34,2709,0.74,0.52
град,2940,9.78,92.18,0.68,7.14,1136,0.31,0.39
пыльные бури,74,0.25,50.0,4.05,45.95,11,0.0,0.15
КНПЯ,6540,21.76,94.59,0.72,4.69,543,0.15,0.08
вредители и болезни лесов и с/х,222,0.74,3.6,0.0,96.4,0,0.0,0.0
мороз,2606,8.67,98.2,0.19,1.61,0,0.0,0.0
лавины,899,2.99,26.03,4.0,69.97,0,0.0,0.0
туман,541,1.8,78.74,0.0,21.26,0,0.0,0.0
грозы,118,0.39,95.76,0.0,4.24,0,0.0,0.0
термокарст и деградация мерзлоты,1,0.0,0.0,0.0,100.0,0,0.0,0.0
