ОПЯ,Количество нов.,Количество нов.(%),ВКонтакте (%),СМИ (%),МЧС (%),Пострадавшие,Пострадавшие (%),Пострадавшие / Количество нов.
сильные ветры,3090,10.28,83.66,3.11,13.24,4309915,48.21,1394.79
пыльные бури,74,0.25,50.0,4.05,45.95,38550,0.43,520.95
наводнение,4933,16.41,69.9,3.04,27.06,2513836,28.12,509.6
осыпи,81,0.27,37.04,9.88,53.09,20131,0.23,248.53
оползни,81,0.27,37.04,9.88,53.09,20131,0.23,248.53
обвалы,81,0.27,37.04,9.88,53.09,20131,0.23,248.53
КНПЯ,6540,21.76,94.59,0.72,4.69,1468663,16.43,224.57
гололед,5185,17.25,96.18,0.48,3.34,1045321,11.69,201.6
сильные осадки,8440,28.08,96.71,0.76,2.54,696518,7.79,82.53
мороз,2606,8.67,98.2,0.19,1.61,163424,1.83,62.71
лавины,899,2.99,26.03,4.0,69.97,36214,0.41,40.28
ландшафтные пожары,2805,9.33,23.49,1.18,75.33,78981,0.88,28.16
град,2940,9.78,92.18,0.68,7.14,77986,0.87,26.53
вредители и болезни лесов и с/х,222,0.74,3.6,0.0,96.4,4487,0.05,20.21
сели,131,0.44,42.75,8.4,48.85,851,0.01,6.5
засуха,67,0.22,29.85,0.0,70.15,400,0.0,5.97
жара,360,1.2,77.5,0.83,21.67,451,0.01,1.25
заморозки,1160,3.86,86.47,0.0,13.53,131,0.0,0.11
туман,541,1.8,78.74,0.0,21.26,46,0.0,0.09
грозы,118,0.39,95.76,0.0,4.24,0,0.0,0.0
термокарст и деградация мерзлоты,1,0.0,0.0,0.0,100.0,0,0.0,0.0
