Локация,Количество
nothing,3208
г. Санкт-Петербург,404
г. Астрахань,320
Курган,269
Владивосток,266
Южно-Сахалинск,184
Астрахань,177
Крымский район,159
горы Карачаево-Черкесской Республики,157
г. Элиста,151
с. Белозерское,150
Нижний Новгород,141
Архангельск,137
город Дудинка,136
река Обь,134
сильные осадки,133
Ялта,132
Ейский район,120
Анапа,120
Барнаул,116
горы,111
горные районы,109
Еловский  округ,108
город Елец,106
Хабаровск,97
Сыктывкар,97
Новороссийск,97
Надым,97
Саранск,95
Киров,92
Усинск,92
Долгопрудный,92
река Тобол,91
Подмосковье,91
г. Рославль,86
г. Москва,83
Оренбург,79
Петропавловск-Камчатский,79
г. Махачкала,79
Улан-Удэ,77
Махачкала,77
Крым,76
Керчь,75
Томск,75
Сочи,74
Курск,73
г. Нижний Новгород,73
Горячий Ключ,72
Липецк,72
Симферополь,71
Смоленск,71
Орск,70
г. Чита,70
Ставрополь,69
Ульяновск,69
Калининский район,69
Феодосия,68
река Кубань,68
Нижневартовск,68
река Лена,66
река Урал,65
Биробиджан,64
Ижемский,63
Омск,63
Санаторная,63
Брянск,61
Кетово,61
город Курган,60
Уфа,60
д. Александровка,60
центральные районы,59
Усть-Цилемский район,59
Ухта,59
Казань,58
сильные ветры,58
г. Барнаул,58
Комсомольск-на-Амуре,57
Печорский,57
Находка,57
Уссурийск,57
г. Улан-Удэ,57
Северодвинск,56
южные районы,56
Усть-Цилемский,56
Балашиха,56
Енотаевский район,56
реки,55
Усинский район,55
Троицко-Печорский район,55
Москва,55
Приморье,54
горы КЧР,54
Армавир,54
Кетовский округ,54
Благовещенск,53
Саратов,52
северные районы,52
Евпатория,51
Волгоград,51
Дзержинск,51
Нытвенский городской округ,51
Петрозаводск,50
Лиманский район,50
Калуга,50
Екимово,50
озера,49
Октябрьский,49
Печора район,49
Арсеньев,48
Геленджик,48
город Уфа,48
Ростов-на-Дону,48
Троицко-Печорский,48
Усинский,48
Йошкар-Ола,48
Белозерское,48
Редькино,48
Русаково,48
Гагарье,48
Масляная,47
Соликамский городской округ,46
Корсаков,46
Рубцовск,46
город Мончегорск,45
Солнечногорск,45
с. Викулово,44
Сосногорский,44
Ахтубинский район,44
Магри,44
г. Казань,44
Юстинский район,44
Кошкино,44
д. Новое,44
Мирный,43
Лесозаводск,43
Элиста,43
город Армавир,43
Ермаковский район,43
Белозерский округ,43
Краснодар,42
Усть-Куломский район,42
Вуктыльский,42
Черноземельский район,42
река Вятка,41
Интинский,41
Химки,41
город Киров,40
Нижний Тагил,40
Ижевск,39
г. Нальчик,39
Харабалинский район,39
Красногорск,39
Ижемский район,38
Первомайский район,38
Кубань,38
Усть-Куломский,38
горы Кабардино-Балкарской Республики,38
наводнение,37
Екатеринбург,37
река Амур,37
Штормовое,37
Прилузский район,37
Кущевский район,37
Подольск,37
Яшкульский район,37
город Туймазы,36
город Астрахань,36
Новочеркасск,36
река Пара,36
г. Белогорск,35
Чебоксары,35
Тольятти,35
Верхняя Пышма,35
Красноярск,35
Краснокаменский район,35
д. Торопово,35
Вуктыл,34
Белозерский  округ,34
Самара,34
Удорский,33
Краснознаменск,33
Малодербетовский район,33
Черноярский район,33
река Сакмара,33
город Якутск,32
Ленинский район,32
Октябрьский район,32
Корткеросский район,32
Княжпогостский,32
Ухтинский,32
Кызыл,32
Сыктывдинский,32
Кострома,32
Серпухов,32
Дивногорск,32
Алагирский район,32
Крюково,32
г. Смоленск,32
Иркутск,31
Холмск,31
Кировский район,31
Югра,31
Калтасинский район,31
Магнитогорск,31
городской округ Истра,31
Алейск,31
Корткеросский,31
Усть-Вымский,31
Красноярский район,31
Памятное,31
Нарьян-Мар,30
Похвистнево,30
Благовещенский район,30
Удмуртия,30
Ступино,30
город Кызыл,29
Белогорский район,29
Володарский район,29
Ачинск,29
город,29
Сысольский,29
Усинск район,29
Чита,29
Новодвинск,29
д. Вишневка,29
Сарапул,28
река Колыма,28
восточные районы,28
Усть-Вымский район,28
Бабаевский округ,28
Салехард,28
Соликамск,28
Михайловский район,28
Лаганский район,28
д. Красная Слобода,28
Челябинск,27
Удорский район,27
Воркутинский,27
горные районы Красноярского края,27
Брюховецкий район,27
Спасск-Дальний,27
Город Уфа,27
Сосногорск,27
Город Лесной,27
Ики-Бурульский район,27
п. Красный,27
с. Коркино,27
г. Рубцовск,27
Вологда,26
Тюмень,26
Печорский район,26
Амур,26
Бузулук,26
Кузбасс,26
Прилузский,26
Советский район,26
Николаевский район,25
Усть-Камчатск,25
река Проня,25
Воскресенск,25
Мончегорск,25
Черноморское побережье,25
Великий Устюг,25
Штормовое предупреждение,25
Динской район,25
Славянск-на-Кубани,25
город Октябрьский,25
Инта,25
д. Туманово,25
с. Памятное,25
река Алдан,24
Балезинский район,24
Когалым,24
г. Новороссийск,24
ЗАТО Александровск,24
Сысольский район,24
Димитровград,24
Воткинск,24
река Колпь,24
Тимашевский район,24
Игринский район,24
Дудинка,24
Куликово,24
с. Никольское,24
с. Упорово,24
д. Перелесь,24
д. Буяново,24
Заринск,23
река Уссури,23
река Шилка,23
Горьковский район,23
Партизанск,23
Княжпогостский район,23
Целинный  округ,23
г. Сыктывкар,23
город Можга,23
юг Тюменской области,23
город Ишим,23
Фокино,23
город Краснодар,23
Шадринск,23
город Саратов,23
Мелекесский район,23
Северный Каспий,23
река Ока,23
Усть-Майский район,23
Кадошкинский район,23
д. Сутоки,23
Курчатов,22
Верхняя Салда,22
Кетченеровский район,22
город Армянск,22
Краснокамский округ,22
Калининград,22
р. Кубань,22
город-курорт Геленджик,22
Батайск,22
Усть-Камчатский район,22
Новокузнецк,22
город Владимир,22
Дубна,22
г. Дорогобуж,22
река Абакан,22
д. Скворцы,22
Иковское,22
Воркута,21
Инза,21
река Ишим,21
Биджан,21
Усть-Большерецкий район,21
Егорьевск,21
Щёлково,21
Керченский пролив,21
Белгород,21
юго-восточные районы,21
Ноябрьск,21
Грязовецкий  округ,21
д. Ильино,21
д. Усвятье,21
Дальнереченский район,20
Камызякский район,20
город Тюмень,20
Лыткарино,20
Белебеевский район,20
Бира,20
Нижнетобольное,20
Королёв,20
Ярославль,20
побережье,20
Учалинский район,20
д. Мегрино,20
д. Анисимово,20
Курильский район,20
Бирский район,20
Печора,20
Икрянинский район,20
Лабытнанги,20
Санкт-Петербург,20
Лобня,20
Оренбургский район,20
Тобольск,20
река Иртыш,20
Андреевка,19
Сыктывдинский район,19
Норильск,19
Горно-Алтайск,19
Тамбов,19
Вилючинск,19
город Омск,19
Котлас,19
Холмский район,19
южные районы Красноярского края,19
участок от Анапы до Магри,19
Котельники,19
Кроноцкий заповедник,19
г.Нижний Новгород,19
Заречный,19
г. Самара,19
Великий Новгород,18
Каменск-Уральский,18
Белогорск,18
Туапсинский район,18
река Аргунь,18
Арзамас,18
Североморск,18
Шарканский район,18
Партизанский городский округ,18
Воронеж,18
Московский регион,18
Екатерино-Никольское,18
Нагибово,18
г. Хабаровск,18
центральный район,18
город-курорт Анапа,18
Город Майкоп,18
Целинный район,18
Волоколамск,18
Пущино,18
Змеиногорск,18
Минусинский район,18
Ямальский район,18
Электросталь,18
Корсаковский район,18
Невельск,18
Уинский  округ,18
Сургут,18
р. Волга,18
г. Алейск,18
г. Бабаево,18
Кировск,17
Кашира,17
река Амга,17
река Яна,17
с. Корсаково-2,17
река Молога,17
Лихачи,17
городской округ Можайск,17
Приамурье,17
Ульчский район,17
Михалкино,17
Артемовский городской округ,17
Ленинское,17
Кинель-Черкасский район,17
Буйбинский перевал,17
Речкино,17
Златоустовский городской округ,17
северо-восточные районы,17
Истра,17
Новомосковск,17
Дальнегорск,17
Курья,17
город Казань,17
Ишим,17
Рычково,17
Якутск,17
Нюрбинский район,17
Русское Маскино,17
Охотино,17
Рязань,16
Первоуральск,16
река Печора,16
Белореченск,16
д. Мальцево,16
г. Владивосток,16
Зауралье,16
Пашково,16
Елизовский район,16
Петровский район,16
г. Колпашево,16
Пуровский район,16
г. Брянск,16
Шатура,16
залив Петра Великого,16
река Селенга,16
реки Черноморского побережья,16
Артем,16
Сахалин,16
Аургазинский район,16
Майминский район,16
Нальчик,16
Приволжский район,16
Наримановский район,16
Петергоф,16
Московская область,16
городской округ Люберцы,16
Ковылкино,16
Кельчино,16
г. Новоалтайск,16
Нягань,16
река Ранова,16
р. Ветлуга,16
г. Гагарин,16
Пурдошки,16
река Суда,16
Бузан,16
Волосникова,16
Малый Заполой,16
Ханты-Мансийск,15
Сосновый Бор,15
город Брянск,15
город Камышин,15
Чагодощенский округ,15
